id,code,name,,seq,9326A53C-059F-488D-972A-E3C990820EFC
30B8B448-0A49-4E97-AD57-29DFBC2E62A0,SMUA,Food & Drink,1,1,Food & Drink
31F83328-3C44-4DA0-AB66-E6D9CB853EF5,USDE3,Food & Drink,1,1,Food & Drink
338F57A8-7D16-42F1-902F-479005995511,USBOC,City Highlights,1,1,City Highlights
348618DE-BEB5-4077-8D19-6155EB1D8E8B,USNY3,Art & Culture & History,3,1,Art & Culture & History
348618DE-BEB5-4077-8D19-6155EB1D8E8B,USNY3,City Highlights,3,2,City Highlights
348618DE-BEB5-4077-8D19-6155EB1D8E8B,USNY3,Food & Drink,3,3,Food & Drink
34AF558E-267B-4C85-89A0-0A887EEF3866,ROBUG,Art & Culture & History,2,1,Art & Culture & History
34AF558E-267B-4C85-89A0-0A887EEF3866,ROBUG,City Highlights,2,2,City Highlights
3618BCF4-371D-4164-80FB-117BF6B3D1C6,ESUC,Food & Drink,1,1,Food & Drink
36D94049-ACDF-4C21-8A36-BF57514FA271,AMBUC,City Highlights,2,1,City Highlights
36D94049-ACDF-4C21-8A36-BF57514FA271,AMBUC,Food & Drink,2,2,Food & Drink
36F3C6ED-EB3C-4259-9925-1421E0EAF563,PRIUSWAP7,City Highlights,2,1,City Highlights
36F3C6ED-EB3C-4259-9925-1421E0EAF563,PRIUSWAP7,Private,2,2,Private
3CB2756D-5C05-4B0A-A543-6E9C21D0C2E3,COSTA7,Food & Drink,1,1,Food & Drink
3D761F57-90F6-4772-94E6-B002C4635A44,PRIUSNY2,Art & Culture & History,3,1,Art & Culture & History
3D761F57-90F6-4772-94E6-B002C4635A44,PRIUSNY2,City Highlights,3,2,City Highlights
3D761F57-90F6-4772-94E6-B002C4635A44,PRIUSNY2,Private,3,3,Private
47A3CBA1-8ED8-4DF4-8417-7077AC21BCF6,PRIMCAUA,Art & Culture & History,2,1,Art & Culture & History
47A3CBA1-8ED8-4DF4-8417-7077AC21BCF6,PRIMCAUA,Private,2,2,Private
491633D0-0026-441E-B20E-C5702C3738F3,IBUF,Food & Drink,1,1,Food & Drink
4B27C1D6-C58B-4E03-81AE-52D813E34959,USBOD,City Highlights,2,1,City Highlights
4B27C1D6-C58B-4E03-81AE-52D813E34959,USBOD,Food & Drink,2,2,Food & Drink
4BED483C-24C1-4480-85FA-D4721490F9A3,CUBA1,Art & Culture & History,1,1,Art & Culture & History
4C3CCA80-1FC9-4A18-AFC2-60CB0E71F8B8,FRUG,City Highlights,1,1,City Highlights
5301FA8E-65A3-4AC7-8FA6-A89D2328C50D,WITUKETH,Food & Drink,3,1,Food & Drink
5301FA8E-65A3-4AC7-8FA6-A89D2328C50D,WITUKETH,Private,3,2,Private
